timestamp,__name__,endpoint,instance,job,le,namespace,pod,prometheus,service,user,value
2024-06-11 10:22:26.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,134.0
2024-06-11 10:22:31.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,135.0
2024-06-11 10:22:36.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,138.0
2024-06-11 10:22:41.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,138.0
2024-06-11 10:22:46.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,144.0
2024-06-11 10:22:51.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,145.0
2024-06-11 10:22:56.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,146.0
2024-06-11 10:23:01.331000090,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,147.0
2024-06-11 10:23:06.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,150.0
2024-06-11 10:23:11.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:16.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:21.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:26.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:31.308000088,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:36.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:41.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:46.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:51.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:23:56.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:24:01.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:24:06.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,153.0
2024-06-11 10:24:11.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,156.0
2024-06-11 10:24:16.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,164.0
2024-06-11 10:24:21.312999964,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,166.0
2024-06-11 10:24:26.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,166.0
2024-06-11 10:24:31.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,166.0
2024-06-11 10:24:36.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,173.0
2024-06-11 10:24:41.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,177.0
2024-06-11 10:24:46.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,181.0
2024-06-11 10:24:51.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,182.0
2024-06-11 10:24:56.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,182.0
2024-06-11 10:25:01.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,183.0
2024-06-11 10:25:06.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,185.0
2024-06-11 10:25:11.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,188.0
2024-06-11 10:25:16.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,192.0
2024-06-11 10:25:21.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,198.0
2024-06-11 10:25:26.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,198.0
2024-06-11 10:25:31.305999994,router_request_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,199.0
